"","Slice","Count","cID","timePt","cellLine","drug","l2","nl2","day"
"1","WellR04-C02H2B_day0",4,"1",0,"SKMEL5","PLX4720",2,-4.5077946401987,0
"2","WellR04-C02H2B_day1",6,"1",1,"SKMEL5","PLX4720",2.58496250072116,-3.92283213947754,1.712545833
"3","WellR04-C02H2B_day2",11,"1",2,"SKMEL5","PLX4720",3.4594316186373,-3.0483630215614,2.695325
"4","WellR04-C02H2B_day3",21,"1",3,"SKMEL5","PLX4720",4.39231742277876,-2.11547721741994,3.764479167
"5","WellR04-C02H2B_day4",37,"1",4,"SKMEL5","PLX4720",5.20945336562895,-1.29834127456975,4.903575
"6","WellR04-C02H2B_day5",69,"1",5,"SKMEL5","PLX4720",6.10852445677817,-0.399270183420527,5.954283333
"7","WellR04-C02H2B_day6",91,"1",6,"SKMEL5","PLX4720",6.5077946401987,0,6.897975
"8","WellR04-C02H2B_day7",99,"1",7,"SKMEL5","PLX4720",6.62935662007961,0.121561979880913,6.982258333
"9","WellR04-C02H2B_day8",113,"1",8,"SKMEL5","PLX4720",6.82017896241519,0.312384322216491,7.6926375
"10","WellR04-C02H2B_day9",91,"1",9,"SKMEL5","PLX4720",6.5077946401987,0,8.924766667
"11","WellR04-C02H2B_day10",92,"1",10,"SKMEL5","PLX4720",6.52356195605701,0.0157673158583167,9.731066667
"12","WellR04-C02H2B_day11",98,"1",11,"SKMEL5","PLX4720",6.61470984411521,0.106915203916512,10.7534125
"13","WellR04-C02H2B_day12",74,"1",12,"SKMEL5","PLX4720",6.20945336562895,-0.298341274569746,10.99522083
"14","WellR04-C02H2B_day13",75,"1",13,"SKMEL5","PLX4720",6.22881869049588,-0.278975949702816,11.78024167
"15","WellR04-C02H2B_day14",58,"1",14,"SKMEL5","PLX4720",5.85798099512757,-0.649813645071124,12.73057917
"16","WellR04-C02H2B_day15",44,"1",15,"SKMEL5","PLX4720",5.4594316186373,-1.0483630215614,12.9729875
"17","WellR04-C02H2B_day16",54,"1",16,"SKMEL5","PLX4720",5.75488750216347,-0.752907138035228,13.70632917
"18","WellR04-C02H2B_day17",34,"1",17,"SKMEL5","PLX4720",5.08746284125034,-1.42033179894836,14.875775
"19","WellR04-C02H2B_day18",22,"1",18,"SKMEL5","PLX4720",4.4594316186373,-2.0483630215614,16.12682917
"20","WellR04-C02H2B_day19",18,"1",19,"SKMEL5","PLX4720",4.16992500144231,-2.33786963875638,16.7051625
"21","WellR04-C02H2B_day20",22,"1",20,"SKMEL5","PLX4720",4.4594316186373,-2.0483630215614,17.764825
"22","WellR04-C02H2B_day0",1,"2",0,"SKMEL5","PLX4720",0,-6.2667865406949,0
"23","WellR04-C02H2B_day1",3,"2",1,"SKMEL5","PLX4720",1.58496250072116,-4.68182403997374,1.712545833
"24","WellR04-C02H2B_day2",7,"2",2,"SKMEL5","PLX4720",2.8073549220576,-3.4594316186373,2.695325
