"","Slice","Count","cID","timePt","cellLine","drug","l2","nl2","day"
"1","WellR02-C04H2B_day0",2,"1",0,"SKMEL5","PLX4720",1,-4.64385618977472,0
"2","WellR02-C04H2B_day1",6,"1",1,"SKMEL5","PLX4720",2.58496250072116,-3.05889368905357,1.712545833
"3","WellR02-C04H2B_day2",10,"1",2,"SKMEL5","PLX4720",3.32192809488736,-2.32192809488736,2.695325
"4","WellR02-C04H2B_day3",13,"1",3,"SKMEL5","PLX4720",3.70043971814109,-1.94341647163363,3.764479167
"5","WellR02-C04H2B_day4",27,"1",4,"SKMEL5","PLX4720",4.75488750216347,-0.888968687611256,4.903575
"6","WellR02-C04H2B_day5",47,"1",5,"SKMEL5","PLX4720",5.55458885167764,-0.0892673380970868,5.954283333
"7","WellR02-C04H2B_day6",50,"1",6,"SKMEL5","PLX4720",5.64385618977472,0,6.897975
"8","WellR02-C04H2B_day7",51,"1",7,"SKMEL5","PLX4720",5.6724253419715,0.0285691521967708,6.982258333
"9","WellR02-C04H2B_day8",52,"1",8,"SKMEL5","PLX4720",5.70043971814109,0.0565835283663674,7.6926375
"10","WellR02-C04H2B_day9",27,"1",9,"SKMEL5","PLX4720",4.75488750216347,-0.888968687611256,8.924766667
"11","WellR02-C04H2B_day10",24,"1",10,"SKMEL5","PLX4720",4.58496250072116,-1.05889368905357,9.731066667
"12","WellR02-C04H2B_day11",29,"1",11,"SKMEL5","PLX4720",4.85798099512757,-0.785875194647152,10.7534125
"13","WellR02-C04H2B_day12",6,"1",12,"SKMEL5","PLX4720",2.58496250072116,-3.05889368905357,10.99522083
"14","WellR02-C04H2B_day13",4,"1",13,"SKMEL5","PLX4720",2,-3.64385618977472,11.78024167
"15","WellR02-C04H2B_day14",4,"1",14,"SKMEL5","PLX4720",2,-3.64385618977472,12.73057917
"16","WellR02-C04H2B_day15",3,"1",15,"SKMEL5","PLX4720",1.58496250072116,-4.05889368905357,12.9729875
"17","WellR02-C04H2B_day16",9,"1",16,"SKMEL5","PLX4720",3.16992500144231,-2.47393118833241,13.70632917
"18","WellR02-C04H2B_day17",8,"1",17,"SKMEL5","PLX4720",3,-2.64385618977472,14.875775
"19","WellR02-C04H2B_day18",7,"1",18,"SKMEL5","PLX4720",2.8073549220576,-2.83650126771712,16.12682917
"20","WellR02-C04H2B_day19",10,"1",19,"SKMEL5","PLX4720",3.32192809488736,-2.32192809488736,16.7051625
"21","WellR02-C04H2B_day20",7,"1",20,"SKMEL5","PLX4720",2.8073549220576,-2.83650126771712,17.764825
"22","WellR02-C04H2B_day0",2,"2",0,"SKMEL5","PLX4720",1,-4.61470984411521,0
"23","WellR02-C04H2B_day1",6,"2",1,"SKMEL5","PLX4720",2.58496250072116,-3.02974734339405,1.712545833
"24","WellR02-C04H2B_day2",6,"2",2,"SKMEL5","PLX4720",2.58496250072116,-3.02974734339405,2.695325
"25","WellR02-C04H2B_day3",9,"2",3,"SKMEL5","PLX4720",3.16992500144231,-2.4447848426729,3.764479167
"26","WellR02-C04H2B_day4",18,"2",4,"SKMEL5","PLX4720",4.16992500144231,-1.4447848426729,4.903575
"27","WellR02-C04H2B_day5",29,"2",5,"SKMEL5","PLX4720",4.85798099512757,-0.756728848987636,5.954283333
"28","WellR02-C04H2B_day6",49,"2",6,"SKMEL5","PLX4720",5.61470984411521,0,6.897975
"29","WellR02-C04H2B_day7",49,"2",7,"SKMEL5","PLX4720",5.61470984411521,0,6.982258333
"30","WellR02-C04H2B_day8",65,"2",8,"SKMEL5","PLX4720",6.02236781302845,0.407657968913246,7.6926375
"31","WellR02-C04H2B_day9",56,"2",9,"SKMEL5","PLX4720",5.8073549220576,0.192645077942395,8.924766667
